User_ID,Content_ID,Rating,Liked_Flag,Feedback_Category
U1365,C09748,5,Y,Positive
U1435,C14727,3,N,Neutral
U0122,C01611,4,Y,Positive
U1392,C00587,2,Y,Negative
U0385,C14713,2,N,Negative
U0254,C03174,4,Y,Positive
U1240,C09511,3,Y,Neutral
U1020,C04754,3,Y,Neutral
U0311,C11863,1,N,Negative
U1365,C09366,1,N,Negative
U0280,C10793,3,N,Neutral
U1502,C13732,5,Y,Positive
U1943,C12740,4,Y,Positive
U0236,C08894,1,N,Negative
U0475,C12383,1,N,Negative
U1077,C07438,2,N,Negative
U0305,C08505,5,Y,Positive
U1971,C09377,3,N,Neutral
U0769,C14879,1,Y,Negative
U0778,C07816,1,Y,Negative
U0021,C02497,5,Y,Positive
U0886,C06647,5,Y,Positive
U1745,C07445,2,Y,Negative
U0989,C05307,2,Y,Negative
U1279,C17719,3,N,Neutral
U0569,C05479,4,Y,Positive
U0868,C07260,4,Y,Positive
U1017,C03658,1,N,Negative
U1071,C06483,3,N,Neutral
U1247,C09403,4,Y,Positive
U1665,C12797,1,N,Negative
U0936,C09674,2,Y,Negative
U0760,C00409,4,Y,Positive
U1125,C16739,5,Y,Positive
U1292,C15013,5,Y,Positive
U0245,C12147,3,N,Neutral
U0709,C10836,1,Y,Negative
U1220,C05712,5,Y,Positive
U0615,C15729,3,Y,Neutral
U0989,C17097,5,Y,Positive
U1804,C15148,5,Y,Positive
U0324,C06078,1,N,Negative
U1350,C15382,4,Y,Positive
U1947,C09926,5,Y,Positive
U1041,C12450,1,Y,Negative
U0328,C11163,3,N,Neutral
U0963,C09205,5,Y,Positive
U1814,C03665,2,Y,Negative
U0833,C14404,4,Y,Positive
U1177,C02024,1,Y,Negative
U0974,C05394,4,Y,Positive
U0134,C08879,4,Y,Positive
U0718,C03375,4,Y,Positive
U1884,C12096,3,Y,Neutral
U0367,C07665,1,Y,Negative
U1106,C05567,3,N,Neutral
U0252,C07901,2,N,Negative
U0106,C11737,2,Y,Negative
U1373,C00447,4,Y,Positive
U0786,C00283,3,N,Neutral
U0371,C01282,5,Y,Positive
U0037,C13121,2,N,Negative
U0778,C01267,3,N,Neutral
U0264,C09871,1,Y,Negative
U0449,C07649,5,Y,Positive
U0682,C01074,3,N,Neutral
U0444,C01792,4,Y,Positive
U0224,C05366,1,N,Negative
U0449,C14806,1,N,Negative
U0647,C02170,3,Y,Neutral
U1343,C01764,5,Y,Positive
U1163,C07233,4,Y,Positive
U0980,C08275,3,N,Neutral
U1021,C06193,2,N,Negative
U1405,C15280,2,Y,Negative
U1127,C13503,1,Y,Negative
U1085,C00486,1,Y,Negative
U1961,C09577,3,N,Neutral
U1301,C11053,4,Y,Positive
U1751,C14879,1,Y,Negative
U0526,C11284,5,Y,Positive
U0350,C07168,1,N,Negative
U1802,C01750,5,Y,Positive
U1247,C01557,1,N,Negative
U1195,C02758,4,Y,Positive
U1750,C04714,3,Y,Neutral
U0057,C01458,5,Y,Positive
U0225,C11406,5,Y,Positive
U0451,C11311,1,Y,Negative
U1004,C12990,4,Y,Positive
U0391,C02242,1,N,Negative
U1354,C13580,5,Y,Positive
U0276,C01078,4,Y,Positive
U1065,C08243,3,Y,Neutral
U1790,C10094,1,N,Negative
U1012,C11479,2,Y,Negative
U0231,C14816,5,Y,Positive
U1480,C15526,2,Y,Negative
U0662,C17361,4,Y,Positive
U0733,C03500,2,Y,Negative
U0812,C00400,4,Y,Positive
U0436,C11931,1,N,Negative
U1803,C04040,4,Y,Positive
U1999,C05700,2,Y,Negative
U1565,C14713,4,Y,Positive
U0228,C06109,3,Y,Neutral
U0876,C05800,3,Y,Neutral
U1547,C04913,2,N,Negative
U1946,C14451,5,Y,Positive
U1746,C14825,4,Y,Positive
U1736,C16252,4,Y,Positive
U1877,C01027,5,Y,Positive
U0842,C02168,1,Y,Negative
U1258,C12177,1,Y,Negative
U0011,C13876,3,Y,Neutral
U0421,C09749,3,Y,Neutral
U1000,C11611,3,N,Neutral
U0729,C11668,5,Y,Positive
U1048,C05817,1,N,Negative
U0755,C07433,2,Y,Negative
U0916,C17282,5,Y,Positive
U0265,C08344,5,Y,Positive
U1687,C04650,3,Y,Neutral
U0116,C11786,4,Y,Positive
U1085,C01135,5,Y,Positive
U1545,C04889,5,Y,Positive
U1160,C06572,2,Y,Negative
U0882,C04721,5,Y,Positive
U0140,C07664,1,Y,Negative
U0707,C14756,5,Y,Positive
U0071,C03283,3,N,Neutral
U1748,C01349,2,Y,Negative
U1724,C08105,4,Y,Positive
U0285,C08497,3,N,Neutral
U0360,C10296,3,Y,Neutral
U1850,C03819,1,N,Negative
U1837,C05788,4,Y,Positive
U1300,C15678,4,Y,Positive
U1698,C02759,3,N,Neutral
U0567,C17147,4,Y,Positive
U0025,C10294,3,N,Neutral
U1705,C04875,1,Y,Negative
U0187,C02118,1,N,Negative
U0844,C15488,2,N,Negative
U1423,C04589,2,N,Negative
U0875,C01202,3,N,Neutral
U0185,C01282,2,Y,Negative
U1608,C01410,2,Y,Negative
U0341,C04517,4,Y,Positive
U0281,C05937,3,N,Neutral
U0425,C16975,1,Y,Negative
