User_ID,Subscription_Type,Monthly_Fee,Renewal_Status,Churn_Flag
U0001,Free Trial,0,Not Renewed,1
U0002,Basic,299,Renewed,0
U0003,Free Trial,0,Renewed,0
U0004,Free Trial,0,Renewed,0
U0005,Premium,599,Not Renewed,1
U0006,Free Trial,0,Not Renewed,1
U0007,Basic,299,Renewed,0
U0008,Basic,299,Not Renewed,1
U0009,Basic,299,Not Renewed,1
U0010,Basic,299,Not Renewed,1
U0011,Basic,299,Not Renewed,1
U0012,Premium,599,Renewed,0
U0013,Premium,599,Renewed,0
U0014,Premium,599,Not Renewed,1
U0015,Basic,299,Renewed,0
U0016,Basic,299,Not Renewed,1
U0017,Free Trial,0,Not Renewed,1
U0018,Premium,599,Renewed,0
U0019,Basic,299,Not Renewed,1
U0020,Basic,299,Renewed,0
U0021,Free Trial,0,Not Renewed,1
U0022,Free Trial,0,Renewed,0
U0023,Basic,299,Not Renewed,1
U0024,Premium,599,Renewed,0
U0025,Free Trial,0,Not Renewed,1
U0026,Premium,599,Renewed,0
U0027,Free Trial,0,Not Renewed,1
U0028,Basic,299,Renewed,0
U0029,Premium,599,Renewed,0
U0030,Basic,299,Renewed,0
U0031,Premium,599,Renewed,0
U0032,Free Trial,0,Not Renewed,1
U0033,Premium,599,Renewed,0
U0034,Premium,599,Not Renewed,1
U0035,Free Trial,0,Not Renewed,1
U0036,Basic,299,Not Renewed,1
U0037,Premium,599,Renewed,0
U0038,Basic,299,Renewed,0
U0039,Premium,599,Renewed,0
U0040,Basic,299,Not Renewed,1
U0041,Premium,599,Renewed,0
U0042,Premium,599,Renewed,0
U0043,Premium,599,Renewed,0
U0044,Premium,599,Renewed,0
U0045,Premium,599,Renewed,0
U0046,Premium,599,Renewed,0
U0047,Free Trial,0,Renewed,0
U0048,Basic,299,Not Renewed,1
U0049,Premium,599,Renewed,0
U0050,Basic,299,Renewed,0
U0051,Free Trial,0,Not Renewed,1
U0052,Free Trial,0,Not Renewed,1
U0053,Free Trial,0,Not Renewed,1
U0054,Premium,599,Renewed,0
U0055,Free Trial,0,Not Renewed,1
U0056,Premium,599,Renewed,0
U0057,Basic,299,Not Renewed,1
U0058,Basic,299,Renewed,0
U0059,Basic,299,Renewed,0
U0060,Free Trial,0,Not Renewed,1
U0061,Basic,299,Renewed,0
U0062,Free Trial,0,Not Renewed,1
U0063,Premium,599,Renewed,0
U0064,Premium,599,Not Renewed,1
U0065,Basic,299,Not Renewed,1
U0066,Basic,299,Not Renewed,1
U0067,Premium,599,Not Renewed,1
U0068,Free Trial,0,Not Renewed,1
U0069,Premium,599,Renewed,0
U0070,Free Trial,0,Renewed,0
U0071,Basic,299,Not Renewed,1
U0072,Basic,299,Not Renewed,1
U0073,Basic,299,Not Renewed,1
U0074,Premium,599,Renewed,0
U0075,Free Trial,0,Not Renewed,1
U0076,Premium,599,Renewed,0
U0077,Basic,299,Not Renewed,1
U0078,Basic,299,Renewed,0
U0079,Premium,599,Renewed,0
U0080,Free Trial,0,Not Renewed,1
U0081,Premium,599,Renewed,0
U0082,Free Trial,0,Renewed,0
U0083,Free Trial,0,Renewed,0
U0084,Free Trial,0,Not Renewed,1
U0085,Basic,299,Not Renewed,1
U0086,Premium,599,Not Renewed,1
U0087,Basic,299,Not Renewed,1
U0088,Basic,299,Renewed,0
U0089,Free Trial,0,Not Renewed,1
U0090,Free Trial,0,Not Renewed,1
U0091,Premium,599,Renewed,0
U0092,Free Trial,0,Not Renewed,1
U0093,Free Trial,0,Not Renewed,1
U0094,Free Trial,0,Not Renewed,1
U0095,Free Trial,0,Renewed,0
U0096,Premium,599,Renewed,0
U0097,Premium,599,Not Renewed,1
U0098,Basic,299,Not Renewed,1
U0099,Free Trial,0,Not Renewed,1
U0100,Free Trial,0,Not Renewed,1
U0101,Basic,299,Renewed,0
U0102,Free Trial,0,Not Renewed,1
U0103,Free Trial,0,Not Renewed,1
U0104,Free Trial,0,Renewed,0
U0105,Premium,599,Renewed,0
U0106,Basic,299,Renewed,0
U0107,Free Trial,0,Not Renewed,1
U0108,Premium,599,Renewed,0
U0109,Basic,299,Not Renewed,1
U0110,Premium,599,Renewed,0
U0111,Basic,299,Not Renewed,1
U0112,Premium,599,Renewed,0
U0113,Premium,599,Not Renewed,1
U0114,Basic,299,Renewed,0
U0115,Free Trial,0,Renewed,0
U0116,Basic,299,Renewed,0
U0117,Free Trial,0,Renewed,0
U0118,Premium,599,Not Renewed,1
U0119,Premium,599,Renewed,0
U0120,Premium,599,Renewed,0
U0121,Free Trial,0,Not Renewed,1
U0122,Free Trial,0,Not Renewed,1
U0123,Basic,299,Renewed,0
U0124,Premium,599,Renewed,0
U0125,Free Trial,0,Not Renewed,1
U0126,Free Trial,0,Not Renewed,1
U0127,Free Trial,0,Not Renewed,1
U0128,Free Trial,0,Renewed,0
U0129,Premium,599,Not Renewed,1
U0130,Free Trial,0,Renewed,0
U0131,Premium,599,Renewed,0
U0132,Premium,599,Renewed,0
U0133,Premium,599,Renewed,0
U0134,Premium,599,Renewed,0
U0135,Basic,299,Renewed,0
U0136,Basic,299,Not Renewed,1
U0137,Basic,299,Not Renewed,1
U0138,Premium,599,Renewed,0
U0139,Basic,299,Renewed,0
U0140,Free Trial,0,Not Renewed,1
U0141,Basic,299,Renewed,0
U0142,Basic,299,Renewed,0
U0143,Basic,299,Not Renewed,1
U0144,Free Trial,0,Not Renewed,1
U0145,Free Trial,0,Not Renewed,1
U0146,Basic,299,Not Renewed,1
U0147,Premium,599,Not Renewed,1
U0148,Premium,599,Renewed,0
U0149,Premium,599,Renewed,0
U0150,Premium,599,Renewed,0
U0151,Basic,299,Not Renewed,1
U0152,Basic,299,Renewed,0
U0153,Free Trial,0,Not Renewed,1
U0154,Free Trial,0,Not Renewed,1
U0155,Free Trial,0,Not Renewed,1
U0156,Premium,599,Renewed,0
U0157,Free Trial,0,Renewed,0
U0158,Free Trial,0,Renewed,0
U0159,Premium,599,Renewed,0
U0160,Basic,299,Renewed,0
U0161,Premium,599,Renewed,0
U0162,Premium,599,Renewed,0
U0163,Basic,299,Renewed,0
U0164,Basic,299,Not Renewed,1
U0165,Free Trial,0,Not Renewed,1
U0166,Basic,299,Not Renewed,1
U0167,Basic,299,Renewed,0
U0168,Basic,299,Not Renewed,1
U0169,Basic,299,Not Renewed,1
U0170,Premium,599,Not Renewed,1
U0171,Basic,299,Renewed,0
U0172,Premium,599,Not Renewed,1
U0173,Basic,299,Renewed,0
U0174,Free Trial,0,Not Renewed,1
U0175,Basic,299,Renewed,0
U0176,Free Trial,0,Not Renewed,1
U0177,Premium,599,Renewed,0
U0178,Basic,299,Not Renewed,1
U0179,Free Trial,0,Not Renewed,1
U0180,Premium,599,Renewed,0
U0181,Basic,299,Not Renewed,1
U0182,Basic,299,Not Renewed,1
U0183,Basic,299,Renewed,0
U0184,Basic,299,Renewed,0
U0185,Basic,299,Not Renewed,1
U0186,Premium,599,Renewed,0
U0187,Basic,299,Not Renewed,1
U0188,Basic,299,Renewed,0
U0189,Basic,299,Renewed,0
U0190,Premium,599,Renewed,0
U0191,Basic,299,Renewed,0
U0192,Basic,299,Not Renewed,1
U0193,Free Trial,0,Not Renewed,1
U0194,Free Trial,0,Not Renewed,1
U0195,Basic,299,Renewed,0
U0196,Basic,299,Renewed,0
U0197,Premium,599,Renewed,0
U0198,Free Trial,0,Renewed,0
U0199,Free Trial,0,Not Renewed,1
U0200,Premium,599,Renewed,0
U0201,Basic,299,Renewed,0
U0202,Free Trial,0,Not Renewed,1
U0203,Premium,599,Renewed,0
U0204,Premium,599,Not Renewed,1
U0205,Premium,599,Renewed,0
U0206,Basic,299,Renewed,0
U0207,Premium,599,Renewed,0
U0208,Free Trial,0,Not Renewed,1
U0209,Basic,299,Renewed,0
U0210,Free Trial,0,Not Renewed,1
U0211,Premium,599,Renewed,0
U0212,Premium,599,Renewed,0
U0213,Free Trial,0,Not Renewed,1
U0214,Free Trial,0,Not Renewed,1
U0215,Free Trial,0,Not Renewed,1
U0216,Premium,599,Renewed,0
U0217,Basic,299,Not Renewed,1
U0218,Free Trial,0,Not Renewed,1
U0219,Premium,599,Renewed,0
U0220,Basic,299,Renewed,0
U0221,Free Trial,0,Not Renewed,1
U0222,Premium,599,Renewed,0
U0223,Basic,299,Renewed,0
U0224,Free Trial,0,Renewed,0
U0225,Premium,599,Renewed,0
U0226,Free Trial,0,Not Renewed,1
U0227,Free Trial,0,Not Renewed,1
U0228,Premium,599,Renewed,0
U0229,Premium,599,Not Renewed,1
U0230,Premium,599,Renewed,0
U0231,Premium,599,Renewed,0
U0232,Basic,299,Renewed,0
U0233,Basic,299,Not Renewed,1
U0234,Free Trial,0,Not Renewed,1
U0235,Premium,599,Renewed,0
U0236,Premium,599,Not Renewed,1
U0237,Basic,299,Renewed,0
U0238,Basic,299,Renewed,0
U0239,Free Trial,0,Not Renewed,1
U0240,Premium,599,Not Renewed,1
U0241,Premium,599,Not Renewed,1
U0242,Premium,599,Renewed,0
U0243,Premium,599,Renewed,0
U0244,Basic,299,Renewed,0
U0245,Free Trial,0,Renewed,0
U0246,Free Trial,0,Not Renewed,1
U0247,Premium,599,Renewed,0
U0248,Free Trial,0,Not Renewed,1
U0249,Premium,599,Renewed,0
U0250,Basic,299,Renewed,0
U0251,Premium,599,Renewed,0
U0252,Free Trial,0,Not Renewed,1
U0253,Free Trial,0,Renewed,0
U0254,Premium,599,Renewed,0
U0255,Premium,599,Not Renewed,1
U0256,Premium,599,Renewed,0
U0257,Basic,299,Renewed,0
U0258,Free Trial,0,Not Renewed,1
U0259,Premium,599,Not Renewed,1
U0260,Premium,599,Renewed,0
U0261,Premium,599,Not Renewed,1
U0262,Premium,599,Renewed,0
U0263,Premium,599,Renewed,0
U0264,Premium,599,Renewed,0
U0265,Premium,599,Renewed,0
U0266,Free Trial,0,Not Renewed,1
U0267,Free Trial,0,Not Renewed,1
U0268,Free Trial,0,Not Renewed,1
U0269,Basic,299,Not Renewed,1
U0270,Basic,299,Renewed,0
U0271,Premium,599,Renewed,0
U0272,Premium,599,Renewed,0
U0273,Premium,599,Renewed,0
U0274,Free Trial,0,Renewed,0
U0275,Free Trial,0,Renewed,0
U0276,Premium,599,Not Renewed,1
U0277,Basic,299,Not Renewed,1
U0278,Free Trial,0,Not Renewed,1
U0279,Basic,299,Renewed,0
U0280,Free Trial,0,Not Renewed,1
U0281,Premium,599,Renewed,0
U0282,Premium,599,Renewed,0
U0283,Free Trial,0,Not Renewed,1
U0284,Basic,299,Renewed,0
U0285,Premium,599,Renewed,0
U0286,Free Trial,0,Renewed,0
U0287,Basic,299,Not Renewed,1
U0288,Basic,299,Not Renewed,1
U0289,Premium,599,Renewed,0
U0290,Premium,599,Renewed,0
U0291,Free Trial,0,Not Renewed,1
U0292,Basic,299,Not Renewed,1
U0293,Premium,599,Renewed,0
U0294,Premium,599,Renewed,0
U0295,Basic,299,Renewed,0
U0296,Free Trial,0,Renewed,0
U0297,Premium,599,Renewed,0
U0298,Free Trial,0,Not Renewed,1
U0299,Premium,599,Renewed,0
U0300,Basic,299,Not Renewed,1
U0301,Premium,599,Not Renewed,1
U0302,Basic,299,Renewed,0
U0303,Basic,299,Renewed,0
U0304,Basic,299,Renewed,0
U0305,Basic,299,Renewed,0
U0306,Basic,299,Renewed,0
U0307,Free Trial,0,Not Renewed,1
U0308,Free Trial,0,Renewed,0
U0309,Premium,599,Not Renewed,1
U0310,Premium,599,Renewed,0
U0311,Premium,599,Not Renewed,1
U0312,Premium,599,Renewed,0
U0313,Free Trial,0,Not Renewed,1
U0314,Free Trial,0,Not Renewed,1
U0315,Premium,599,Renewed,0
U0316,Basic,299,Not Renewed,1
U0317,Free Trial,0,Not Renewed,1
U0318,Premium,599,Renewed,0
U0319,Free Trial,0,Not Renewed,1
U0320,Premium,599,Renewed,0
U0321,Premium,599,Not Renewed,1
U0322,Basic,299,Renewed,0
U0323,Free Trial,0,Not Renewed,1
U0324,Basic,299,Renewed,0
U0325,Free Trial,0,Not Renewed,1
U0326,Premium,599,Renewed,0
U0327,Basic,299,Renewed,0
U0328,Basic,299,Renewed,0
U0329,Premium,599,Renewed,0
U0330,Premium,599,Renewed,0
U0331,Premium,599,Renewed,0
U0332,Basic,299,Not Renewed,1
U0333,Basic,299,Renewed,0
U0334,Free Trial,0,Not Renewed,1
U0335,Basic,299,Not Renewed,1
U0336,Basic,299,Renewed,0
U0337,Premium,599,Renewed,0
U0338,Premium,599,Renewed,0
U0339,Premium,599,Renewed,0
U0340,Free Trial,0,Not Renewed,1
U0341,Premium,599,Renewed,0
U0342,Basic,299,Renewed,0
U0343,Basic,299,Renewed,0
U0344,Premium,599,Renewed,0
U0345,Basic,299,Not Renewed,1
U0346,Free Trial,0,Renewed,0
U0347,Premium,599,Renewed,0
U0348,Basic,299,Renewed,0
U0349,Premium,599,Renewed,0
U0350,Free Trial,0,Not Renewed,1
U0351,Free Trial,0,Not Renewed,1
U0352,Free Trial,0,Renewed,0
U0353,Premium,599,Renewed,0
U0354,Premium,599,Renewed,0
U0355,Premium,599,Renewed,0
U0356,Premium,599,Renewed,0
U0357,Free Trial,0,Not Renewed,1
U0358,Premium,599,Renewed,0
U0359,Basic,299,Renewed,0
U0360,Free Trial,0,Not Renewed,1
U0361,Basic,299,Renewed,0
U0362,Free Trial,0,Not Renewed,1
U0363,Basic,299,Renewed,0
U0364,Free Trial,0,Not Renewed,1
U0365,Free Trial,0,Not Renewed,1
U0366,Free Trial,0,Not Renewed,1
U0367,Basic,299,Renewed,0
U0368,Premium,599,Renewed,0
