User_ID,Gender,Age_Group,Region,Subscription_Type,Subscription_Start_Date,Subscription_End_Date,Device_Type,Engagement_Level
U0001,Female,50+,West,Free Trial,27/02/2024,24/07/2024,Smart TV,High
U0002,Female,50+,East,Basic,09/03/2023,12/11/2023,Mobile,Medium
U0003,Female,26-35,East,Free Trial,03/02/2025,19/06/2025,Tablet,High
U0004,Male,36-50,Central,Free Trial,18/09/2022,05/09/2023,Laptop,Medium
U0005,Female,50+,Central,Premium,29/07/2022,13/03/2023,Mobile,Low
U0006,Male,26-35,North,Free Trial,17/12/2024,31/03/2025,Laptop,High
U0007,Male,50+,East,Basic,25/09/2023,08/08/2024,Mobile,Medium
U0008,Male,36-50,West,Basic,14/10/2025,15/02/2026,Tablet,High
U0009,Male,18-25,East,Basic,17/03/2023,02/02/2024,Mobile,Low
U0010,Male,26-35,East,Basic,17/01/2025,08/09/2025,Mobile,Medium
U0011,Female,50+,South,Basic,24/08/2023,19/12/2023,Laptop,High
U0012,Male,36-50,North,Premium,18/09/2023,19/06/2024,Smart TV,High
U0013,Male,18-25,South,Premium,13/08/2025,05/12/2025,Smart TV,Medium
U0014,Other,18-25,South,Premium,07/08/2023,08/01/2024,Smart TV,High
U0015,Male,36-50,East,Basic,09/08/2024,20/03/2025,Tablet,Low
U0016,Other,36-50,North,Basic,16/02/2023,12/07/2023,Tablet,Low
U0017,Male,50+,East,Free Trial,04/10/2025,27/09/2026,Mobile,Medium
U0018,Male,36-50,West,Premium,28/09/2025,23/05/2026,Smart TV,Low
U0019,Male,26-35,Central,Basic,13/12/2024,03/06/2025,Mobile,Medium
U0020,Male,50+,Central,Basic,15/07/2023,09/12/2023,Tablet,Medium
U0021,Female,50+,North,Free Trial,10/04/2023,08/03/2024,Laptop,High
U0022,Other,50+,Central,Free Trial,11/07/2024,27/10/2024,Laptop,High
U0023,Male,50+,North,Basic,13/10/2022,28/02/2023,Smart TV,High
U0024,Other,18-25,West,Premium,06/10/2022,07/09/2023,Tablet,Low
U0025,Male,50+,South,Free Trial,27/08/2025,30/05/2026,Tablet,Low
U0026,Other,36-50,North,Premium,07/02/2022,30/11/2022,Mobile,Low
U0027,Female,36-50,North,Free Trial,05/07/2024,23/05/2025,Tablet,High
U0028,Female,36-50,East,Basic,14/03/2025,10/08/2025,Mobile,Medium
U0029,Other,36-50,South,Premium,15/12/2022,09/05/2023,Smart TV,High
U0030,Male,18-25,South,Basic,02/08/2023,16/05/2024,Smart TV,Medium
U0031,Male,36-50,Central,Premium,26/09/2025,15/09/2026,Tablet,Low
U0032,Female,50+,West,Free Trial,12/03/2025,17/11/2025,Laptop,Medium
U0033,Female,26-35,West,Premium,02/03/2024,18/11/2024,Tablet,Medium
U0034,Other,50+,North,Premium,19/07/2023,18/12/2023,Mobile,Medium
U0035,Male,18-25,South,Free Trial,14/05/2025,11/09/2025,Laptop,Medium
U0036,Male,26-35,Central,Basic,08/11/2024,02/10/2025,Tablet,Low
U0037,Other,50+,West,Premium,22/10/2025,23/09/2026,Smart TV,High
U0038,Male,36-50,East,Basic,28/02/2025,10/09/2025,Mobile,High
U0039,Male,26-35,South,Premium,20/09/2024,28/12/2024,Tablet,Medium
U0040,Other,50+,East,Basic,02/01/2022,09/12/2022,Laptop,High
U0041,Male,26-35,West,Premium,11/12/2025,20/07/2026,Laptop,High
U0042,Female,36-50,North,Premium,10/08/2024,14/03/2025,Mobile,Medium
U0043,Male,50+,East,Premium,03/06/2023,18/05/2024,Laptop,Medium
U0044,Female,36-50,West,Premium,08/02/2025,28/11/2025,Mobile,High
U0045,Male,36-50,East,Premium,31/01/2022,05/07/2022,Tablet,Low
U0046,Female,50+,East,Premium,24/10/2023,18/03/2024,Mobile,Low
U0047,Male,26-35,West,Free Trial,26/12/2023,12/09/2024,Mobile,Low
U0048,Male,50+,South,Basic,04/07/2022,31/12/2022,Smart TV,High
U0049,Other,18-25,South,Premium,08/05/2025,06/02/2026,Laptop,High
U0050,Female,18-25,West,Basic,24/11/2022,21/10/2023,Laptop,High
U0051,Male,36-50,West,Free Trial,07/02/2024,25/10/2024,Smart TV,Medium
U0052,Female,50+,East,Free Trial,23/12/2022,29/04/2023,Smart TV,Low
U0053,Male,50+,South,Free Trial,28/04/2024,29/11/2024,Laptop,Low
U0054,Male,26-35,West,Premium,17/04/2024,04/12/2024,Mobile,Medium
U0055,Other,18-25,North,Free Trial,23/04/2023,06/11/2023,Laptop,Low
U0056,Other,18-25,North,Premium,09/09/2022,22/04/2023,Tablet,Low
U0057,Male,50+,Central,Basic,16/03/2024,11/10/2024,Laptop,High
U0058,Female,18-25,East,Basic,03/03/2025,27/07/2025,Smart TV,High
U0059,Male,36-50,North,Basic,07/01/2022,08/04/2022,Smart TV,Medium
U0060,Other,50+,North,Free Trial,15/04/2023,11/09/2023,Tablet,Low
U0061,Male,50+,Central,Basic,20/03/2023,08/08/2023,Mobile,Low
