Session_ID,User_ID,Content_ID,View_Date,Watch_Duration_Minutes,Completion_Percentage,Paused_Times,Rewatched_Flag,Time_of_Day,Device_Type
S723607,U0001,C08386,17/09/2024,5,13,0,Y,Morning,Smart TV
S221333,U0001,C03723,04/09/2022,84,14,2,N,Evening,Smart TV
S853250,U0001,C15629,02/05/2022,74,98,0,N,Night,Smart TV
S562018,U0001,C01926,02/02/2025,97,76,0,Y,Afternoon,Smart TV
S283293,U0001,C04236,03/05/2022,461,76,3,N,Afternoon,Smart TV
S976875,U0001,C16664,23/10/2024,268,44,3,Y,Evening,Smart TV
S764967,U0001,C00424,05/07/2023,61,64,2,N,Afternoon,Smart TV
S960005,U0001,C16294,04/01/2022,14,11,2,Y,Afternoon,Smart TV
S430082,U0001,C12403,29/07/2024,58,47,1,Y,Afternoon,Smart TV
S664621,U0001,C08807,01/12/2024,55,91,3,N,Morning,Smart TV
S829774,U0001,C12066,18/01/2025,40,81,1,Y,Evening,Smart TV
S904470,U0001,C04622,04/04/2023,32,5,3,Y,Afternoon,Smart TV
S247451,U0001,C08496,27/04/2023,68,80,0,Y,Evening,Smart TV
S218527,U0001,C01933,01/07/2022,19,20,3,Y,Afternoon,Smart TV
S439304,U0001,C09306,20/10/2023,295,24,0,N,Night,Smart TV
S848480,U0002,C16103,01/11/2023,58,46,1,N,Evening,Mobile
S993252,U0002,C15039,13/01/2022,94,89,0,N,Morning,Mobile
S352901,U0002,C02892,02/10/2022,136,22,0,Y,Evening,Mobile
S702003,U0002,C13003,23/08/2022,5,5,0,Y,Morning,Mobile
S229851,U0002,C01474,05/04/2024,7,77,0,N,Afternoon,Mobile
S628806,U0002,C06932,05/01/2025,46,47,3,N,Evening,Mobile
S399605,U0002,C12256,25/03/2022,104,17,3,Y,Night,Mobile
S841422,U0002,C10214,24/08/2023,33,20,0,N,Afternoon,Mobile
S538133,U0002,C03509,01/09/2023,61,10,2,Y,Morning,Mobile
S229237,U0002,C06635,25/07/2023,34,33,2,N,Morning,Mobile
S700894,U0002,C01101,08/10/2023,54,50,0,Y,Evening,Mobile
S568088,U0002,C00683,27/03/2024,84,71,2,Y,Afternoon,Mobile
S178424,U0002,C06706,06/06/2025,10,10,2,Y,Afternoon,Mobile
S876382,U0002,C16438,28/05/2022,99,16,1,N,Afternoon,Mobile
S500584,U0002,C00870,20/10/2024,51,67,0,N,Evening,Mobile
